"id";"created";"description";"estimated";"priority";"progress";"status";"summary";"type";"updated";"creator_id";"feature_id";"owner_id";"version_id"
"1";"2015-01-18 21:16:46";"Lorem ipsum dolorsit.";"165";"8";"0";"0";"Task #0";"0";"2015-01-18 21:16:46";"7";"1";"8";"1"
"2";"2015-01-18 21:16:46";"Lorem ipsum dolorsit.";"150";"13";"50";"1";"Task #1";"0";"2015-01-18 21:16:46";"7";"1";"2";"1"
"3";"2015-01-18 21:16:46";"Lorem ipsum dolorsit.";"120";"27";"0";"0";"Task #2";"0";"2015-01-18 21:16:46";"9";"1";"4";"1"
"4";"2015-01-18 21:16:46";"Lorem ipsum dolorsit.";"105";"6";"35";"1";"Bug #0";"1";"2015-01-18 21:16:46";"4";"1";"8";"1"
"5";"2015-01-18 21:16:46";"Lorem ipsum dolorsit.";"435";"1";"0";"0";"Task #0";"0";"2015-01-18 21:16:46";"8";"2";"2";"1"
"6";"2015-01-18 21:16:46";"Lorem ipsum dolorsit.";"225";"20";"0";"0";"Task #1";"0";"2015-01-18 21:16:46";"3";"2";"7";"1"
"7";"2015-01-18 21:16:46";"Lorem ipsum dolorsit.";"315";"2";"0";"0";"Task #2";"0";"2015-01-18 21:16:46";"9";"2";"4";"1"
"8";"2015-01-18 21:16:46";"Lorem ipsum dolorsit.";"180";"7";"0";"0";"Task #3";"0";"2015-01-18 21:16:46";"2";"2";"3";"1"
"9";"2015-01-18 21:16:46";"Lorem ipsum dolorsit.";"60";"6";"20";"1";"Bug #0";"1";"2015-01-18 21:16:46";"4";"2";"9";"1"
"10";"2015-01-18 21:16:46";"Lorem ipsum dolorsit.";"30";"14";"6";"1";"Task #0";"0";"2015-01-18 21:16:46";"1";"3";"2";"1"
"11";"2015-01-18 21:16:46";"Lorem ipsum dolorsit.";"315";"18";"0";"0";"Task #1";"0";"2015-01-18 21:16:46";"6";"3";"6";"1"
"12";"2015-01-18 21:16:46";"Lorem ipsum dolorsit.";"375";"7";"125";"1";"Task #2";"0";"2015-01-18 21:16:46";"7";"3";"5";"1"
"13";"2015-01-18 21:16:46";"Lorem ipsum dolorsit.";"60";"7";"0";"0";"Bug #0";"1";"2015-01-18 21:16:46";"9";"3";"4";"1"
"14";"2015-01-18 21:16:46";"Lorem ipsum dolorsit.";"45";"6";"9";"1";"Bug #1";"1";"2015-01-18 21:16:46";"6";"3";"3";"1"
"15";"2015-01-18 21:16:46";"Lorem ipsum dolorsit.";"165";"24";"0";"0";"Task #0";"0";"2015-01-18 21:16:46";"3";"4";"1";"1"
"16";"2015-01-18 21:16:46";"Lorem ipsum dolorsit.";"405";"16";"0";"0";"Task #1";"0";"2015-01-18 21:16:46";"1";"4";"1";"1"
"17";"2015-01-18 21:16:46";"Lorem ipsum dolorsit.";"135";"1";"0";"0";"Bug #0";"1";"2015-01-18 21:16:46";"2";"4";"8";"1"
"18";"2015-01-18 21:16:46";"Lorem ipsum dolorsit.";"15";"3";"0";"0";"Bug #1";"1";"2015-01-18 21:16:46";"1";"4";"2";"1"
"19";"2015-01-18 21:16:46";"Lorem ipsum dolorsit.";"255";"6";"51";"1";"Task #0";"0";"2015-01-18 21:16:46";"5";"5";"5";"1"
